Name,Address,City,State,Zip,TransactionTotal
Treva Tarr  ,53535 Bisceglia Dr,Indianapolis,IN,46235,341.99
Luetta Rothchild  ,66057 Razo Dr,Indianapolis,IN,46288,500.52
Terri Artrip  ,69745 Strom Dr,Indianapolis,IN,46264,1188.63
Kevin Vankleeck  ,16884 Sama Dr,Indianapolis,IN,46273,488.28
Mara Gartman  ,63506 Burchett Dr,Indianapolis,IN,46207,298.06
Carey Romanik  ,70989 Manuel Dr,Indianapolis,IN,46283,1138.71
Liza Jeffries  ,32916 Laclair Dr,Indianapolis,IN,46287,169
Hector Lawyer  ,70111 Hartgrove Dr,Indianapolis,IN,46215,60.54
Charmaine Mcbeath  ,21423 Sockwell Dr,Indianapolis,IN,46265,465.49
Wilbur Hendrixson  ,212 Kneeland Dr,Indianapolis,IN,46293,58.67
Alane Klatt  ,31800 Luft Dr,Indianapolis,IN,46244,948.57
Tenisha Flegle  ,48885 Fountaine Dr,Indianapolis,IN,46254,499.7
Terina Xiong  ,65949 Mcmullen Dr,Indianapolis,IN,46278,1173.98
Terica Cull  ,23345 Greiner Dr,Indianapolis,IN,46205,229.71
Bertie Marriott  ,45809 Parke Dr,Indianapolis,IN,46215,357.86
Luther Fritzler  ,56264 Shew Dr,Indianapolis,IN,46268,89.63
Laurette Cournoyer  ,31859 Batiste Dr,Indianapolis,IN,46259,528.56
Leda Lynes  ,69745 Fill Dr,Indianapolis,IN,46279,998.74
Sarina Holscher  ,2940 Rispoli Dr,Indianapolis,IN,46284,41.52
Jacquelin Wensel  ,61683 Gemmill Dr,Indianapolis,IN,46226,358.48
